gene,GSM3601227,GSM3601228,GSM3601229,GSM3601230,GSM3601231,GSM3601232
ENSG00000115561,13.3912,13.6276,14.3046,11.1674,8.0003,9.8667
ENSG00000115568,0.2443,0.2274,0.1146,0.1702,0.4419,0.4295
ENSG00000115590,0.3011,0.312,0.4202,0.4717,0.6055,0.2461
ENSG00000115592,0.0284,0.0264,0.0229,0.034,0.027,0.0338
ENSG00000115593,0.0284,0.0264,0.0688,0.0438,0.0039,0.0145
ENSG00000115594,1.5061,1.9662,2.0367,2.8743,1.3393,2.0279
ENSG00000115596,0.0398,0.0159,0.0382,0.0146,0.0193,0.0048
ENSG00000115598,0.0057,0.0053,0.0535,0.0146,0.0039,0.0048
ENSG00000115602,1.557,2.8436,2.7955,2.2413,2.3841,1.6473
ENSG00000115604,0.4147,0.1957,0.2674,0.2967,0.536,0.3813
ENSG00000115607,1.0738,0.4601,0.4813,0.2869,1.1839,0.7577
ENSG00000115616,0.0511,0.0159,0.0688,0.1021,0.0116,0.0145
ENSG00000115641,2.1458,2.0579,2.0849,1.8301,1.1325,1.7612
ENSG00000115648,2.4948,2.6455,2.3919,2.43,1.93,3.0567
ENSG00000115649,1.3351,0.8409,2.9413,0.8705,1.1299,0.6225
ENSG00000115652,0.5397,0.3437,0.4202,0.3745,0.8754,0.3619
ENSG00000115657,0.555,0.7485,0.6276,0.7543,0.5401,0.5924
ENSG00000115661,0.1648,0.1125,0.2398,0.1746,0.2252,0.111
ENSG00000115665,0.017,0.0053,0.0382,0.0244,0.0039,0.0048
ENSG00000115677,1.5807,1.385,2.2081,1.6595,2.3076,1.9414
ENSG00000115685,0.6874,0.4918,0.573,0.5398,0.7212,0.5357
ENSG00000115687,1.3462,1.4888,1.1621,1.3327,1.4856,1.6739
ENSG00000115694,3.3508,3.4913,3.1238,3.1508,3.24,3.0213
ENSG00000115705,0.9272,1.0803,0.7101,1.0607,0.6163,0.8215
ENSG00000115718,0.0398,0.0159,0.0229,0.0632,0.0193,0.0145
ENSG00000115738,0.2557,0.312,0.3896,0.1508,0.3895,0.304
ENSG00000115750,1.4401,1.5042,1.5526,1.4502,1.2591,1.1559
ENSG00000115756,2.5969,2.2906,3.4145,3.0647,1.9201,1.953
ENSG00000115758,1.0397,1.1158,4.4386,0.4231,1.0065,0.9797
ENSG00000115760,2.4725,2.5554,2.8358,2.6339,6.324,4.5225
ENSG00000115761,0.9488,0.8944,0.7105,1.0748,0.8677,0.8545
ENSG00000115762,8.2214,8.7594,7.3566,7.5938,5.0076,6.842
ENSG00000115806,0.1875,0.2486,0.3591,0.3258,0.4435,0.3909
ENSG00000115808,1.3614,1.5331,1.3993,1.4475,2.2678,1.6187
ENSG00000115816,0.2443,0.2486,0.2979,0.4328,0.5438,0.3716
ENSG00000115825,2.7617,2.4356,2.6543,2.4491,2.732,3.1532
ENSG00000115827,0.5679,0.5037,0.7075,0.653,0.6161,0.6423
ENSG00000115828,0.3806,0.2274,0.2368,0.355,0.3664,0.2268
ENSG00000115839,2.5457,4.7958,3.1194,3.9869,2.6595,3.4348
ENSG00000115840,0.1193,0.0476,0.1452,0.141,0.243,0.2751
ENSG00000115841,0.1831,0.3937,0.2418,0.2232,0.3093,0.2381
ENSG00000115844,0.017,0.0476,0.0382,0.0243,0.0116,0.0145
ENSG00000115850,0.0398,0.037,0.0076,0.0049,0.0116,0.0338
ENSG00000115866,0.7403,0.6238,0.6009,0.8325,0.8355,0.819
ENSG00000115875,0.8465,0.7139,0.6646,0.7441,1.2071,0.7191
ENSG00000115884,0.0511,0.0476,0.0535,0.0243,0.0039,0.0048
ENSG00000115896,0.5511,0.5568,0.7157,0.4426,0.59,0.3137
ENSG00000115902,2.8707,2.7321,2.7043,2.751,2.9327,3.2268
ENSG00000115904,0.9488,0.9783,0.7869,0.89,1.6004,1.1438
ENSG00000115919,32.8042,51.6075,36.5504,40.5971,25.1428,36.4513
ENSG00000115935,9.8802,10.0366,10.2749,10.6243,12.5758,10.5869
ENSG00000115942,5.8206,6.4199,5.8893,6.2211,5.161,6.1936
ENSG00000115944,2.2698,2.2503,2.0821,1.9585,1.7812,1.5774
ENSG00000115946,2.6672,3.3363,2.3365,3.4294,2.1294,2.5307
ENSG00000115947,27.3772,49.3125,28.6664,29.5016,17.549,29.224
ENSG00000115956,1.2896,1.6658,1.6884,1.493,2.9193,2.5626
ENSG00000115963,0.0625,0.0053,0.0076,0.0243,0.0424,0.0048
ENSG00000115966,1.5964,1.4482,1.3369,1.2038,1.9552,1.8641
ENSG00000115970,10.3319,11.0471,9.0058,10.5065,7.9122,9.4831
ENSG00000115977,27.0271,33.7122,24.0857,30.0867,23.1464,28.7528
ENSG00000115993,1.6078,1.8245,6.5625,1.1429,3.3435,1.2306
ENSG00000115998,0.1144,0.1005,0.0993,0.0859,0.2313,0.1213
ENSG00000116001,1.1355,0.9255,1.2605,1.2759,2.2985,1.4326
ENSG00000116005,5.0036,4.8472,4.1724,4.6749,3.2455,4.3748
ENSG00000116014,0.0398,0.0264,0.0076,0.0049,0.0193,0.0338
ENSG00000116016,0.0966,0.0582,0.1299,0.1021,0.0656,0.0724
ENSG00000116017,3.4743,2.78,3.348,3.5116,3.2334,3.7783
ENSG00000116030,1.842,2.0656,1.9421,2.059,1.323,1.9746
ENSG00000116031,0.0511,0.0053,0.0535,0.0146,0.0193,0.0048
ENSG00000116032,0.0625,0.0053,0.0382,0.0243,0.0656,0.1013
ENSG00000116035,0.0057,0.0053,0.0076,0.0241,0.0039,0.0338
ENSG00000116039,0.0284,0.0053,0.0076,0.0537,0.027,0.0048
ENSG00000116044,3.4123,3.2676,4.4596,3.9915,3.4051,4.4086
ENSG00000116062,4.7297,5.0965,5.5445,5.5985,5.485,5.8349
ENSG00000116095,3.4696,3.6127,3.7059,3.5652,3.6192,4.3134
ENSG00000116096,0.0284,0.0476,0.0229,0.0049,0.0347,0.0048
ENSG00000116106,0.5384,0.4198,0.4873,0.5609,0.704,0.5624
ENSG00000116117,0.0398,0.0582,0.084,0.073,0.0347,0.0434
ENSG00000116120,3.6851,3.8171,2.6778,3.8972,2.8951,3.5555
ENSG00000116127,1.6044,2.2794,2.1916,2.0655,2.323,1.978
ENSG00000116128,0.1534,0.0687,0.1299,0.1508,0.1118,0.14
ENSG00000116132,0.0739,0.0476,0.0382,0.0632,0.0193,0.0145
ENSG00000116133,0.4543,0.4122,0.238,0.3578,0.3292,0.3835
ENSG00000116138,5.1324,4.3857,4.5951,4.7359,4.2796,4.7889
ENSG00000116141,0.0284,0.0582,0.0076,0.034,0.0039,0.0048
ENSG00000116147,1.2652,1.6095,1.5137,2.0887,1.1466,1.4657
ENSG00000116151,2.4778,2.5122,2.4268,2.5315,1.9105,2.2115
ENSG00000116157,0.0852,0.0476,0.0535,0.1216,0.1427,0.14
ENSG00000116161,0.7443,0.5217,0.4683,0.402,0.6011,0.3586
ENSG00000116171,0.4602,0.4812,0.6188,0.5778,0.9603,0.6129
ENSG00000116176,0.0284,0.0476,0.0229,0.0146,0.0039,0.0048
ENSG00000116183,0.0625,0.0264,0.0076,0.0535,0.0347,0.0145
ENSG00000116191,4.1315,3.6976,1.9243,2.2722,3.8154,2.9676
ENSG00000116194,0.1761,0.2062,0.0993,0.141,0.4281,0.1689
ENSG00000116198,5.6251,5.2537,4.964,4.0366,4.6934,6.0198
ENSG00000116199,7.4896,9.7509,11.9823,7.3717,5.5396,6.0617
ENSG00000116205,11.1181,10.371,9.5969,11.1113,9.6951,10.9638
ENSG00000116209,13.045,11.7984,11.4913,10.9022,9.4811,11.4113
ENSG00000116212,0.0511,0.0476,0.0535,0.073,0.0733,0.1593
ENSG00000116213,2.4731,2.806,2.7469,3.1456,1.9866,2.8518
ENSG00000116218,0.0057,0.0159,0.0076,0.0049,0.0039,0.0048
ENSG00000116221,0.1079,0.0793,0.0993,0.0827,0.2352,0.1206
ENSG00000116237,6.8564,8.3609,6.3878,6.7954,4.5453,4.8232
ENSG00000116251,1.4146,0.8937,1.2147,0.8147,2.0395,1.066
ENSG00000116254,0.1658,0.1226,0.269,0.1931,0.1853,0.2282
ENSG00000116260,1.7338,2.1423,2.3812,2.9286,1.9672,1.6171
ENSG00000116266,3.258,3.2116,3.7249,3.4854,4.1092,3.5201
ENSG00000116273,0.2443,0.2697,0.1604,0.1799,0.2044,0.1303
ENSG00000116285,0.0398,0.0582,0.0076,0.034,0.0501,0.0241
ENSG00000116288,1.4438,1.5981,1.3525,1.4373,1.279,1.0673
ENSG00000116299,5.2474,4.3207,3.1105,5.1905,3.0545,4.7329
ENSG00000116329,8.2604,9.508,7.1766,8.7892,5.4661,7.2723
ENSG00000116337,1.5055,1.5601,1.9939,1.3374,1.9861,1.4044
ENSG00000116350,7.2764,7.1739,6.5443,7.0719,6.7211,6.6181
ENSG00000116353,1.2872,2.0298,1.9499,1.7747,1.5072,1.9523
ENSG00000116396,8.1953,9.1506,7.7234,8.3584,6.0901,7.3267
