gene,GSM7813411,GSM7813412,GSM7813413,GSM7813414,GSM7813415,GSM7813416,GSM7813417,GSM7813418,GSM7813419,GSM7813420,GSM7813421,GSM7813422,GSM7813423,GSM7813424
ENSG00000169032,2.2891,1.5659,1.8914,2.131,1.8599,1.8396,1.9404,1.9964,1.7053,1.8958,2.4907,1.5942,1.7383,1.5292
ENSG00000169035,0.002,0.0024,0.0024,0.0102,0.025,0.0262,0.0131,0.0062,0.0358,0.0029,0.0027,0.0113,0.0065,0.0022
ENSG00000169040,0.0352,0.0024,0.0082,0.0743,0.0027,0.0098,0.0024,0.002,0.0043,0.0029,0.0071,0.0253,0.0137,0.0137
ENSG00000169045,18.0009,18.3905,21.6458,19.1224,18.4024,16.1363,20.1211,20.5098,17.8203,27.5379,22.2506,16.906,27.4434,21.0494
ENSG00000169047,0.0372,0.084,0.0989,0.0375,0.0137,0.0347,0.0451,0.1789,0.0682,0.0291,0.0296,0.0606,0.0238,0.0112
ENSG00000169057,1.7138,1.8245,1.9563,1.5499,1.7749,2.169,1.6899,1.408,2.3329,1.5929,1.7966,1.9589,1.9884,1.4248
ENSG00000169059,0.002,0.0168,0.0024,0.0014,0.0055,0.0023,0.0024,0.002,0.0021,0.0029,0.0027,0.0022,0.0022,0.0022
ENSG00000169062,4.4332,5.0925,4.8314,3.8929,4.9431,5.1274,5.2962,4.9928,6.4526,6.2893,4.0697,3.6178,7.182,4.7041
ENSG00000169064,0.0143,0.0024,0.0072,0.0014,0.0027,0.0069,0.0166,0.01,0.0063,0.0086,0.0027,0.0246,0.0022,0.0022
ENSG00000169067,0.002,0.0024,0.0024,0.0014,0.0082,0.0023,0.0024,0.002,0.0021,0.0029,0.0027,0.0022,0.0022,0.0022
ENSG00000169071,0.0183,0.012,0.0217,0.0181,0.0082,0.0069,0.0119,0.006,0.0148,0.0029,0.0134,0.0022,0.0022,0.0067
ENSG00000169075,0.002,0.0024,0.0024,0.0014,0.0082,0.0023,0.0024,0.002,0.0063,0.0029,0.0027,0.0022,0.0022,0.0022
ENSG00000169083,0.1411,0.0122,0.1036,0.0237,0.0196,0.0351,0.0024,0.0225,0.063,0.0326,0.0081,0.3271,0.0153,0.0115
ENSG00000169084,1.2374,1.5374,1.2683,0.7819,1.6402,1.1361,1.3998,1.3021,1.3247,1.2135,1.6182,1.2747,1.663,1.4146
ENSG00000169085,0.0145,0.0266,0.0072,0.0236,0.0085,0.007,0.0024,0.0104,0.0288,0.0029,0.0085,0.0022,0.0022,0.0067
ENSG00000169087,0.2983,0.3138,0.2553,0.2795,0.1923,0.194,0.2215,0.3114,0.5076,0.3671,0.1924,0.3119,0.3047,0.3194
