gene,GSM931814,GSM931816,GSM931818,GSM931815,GSM931817,GSM931813,GSM931812
ENSG00000075239,54.599478173321,46.4983277056193,32.9678395485823,32.1817738721097,49.1868900285041,50.3610582058499,49.0921828759557
ENSG00000120437,175.589981763744,256.39822479405,66.5806625852768,54.7059417693284,484.330990029413,236.87177507266,259.723068390522
ENSG00000182827,253.512184267094,285.252723412957,138.552255260612,132.911398644363,378.135469651243,223.182457859534,227.392251214642
ENSG00000181513,124.401848346301,126.741269083451,133.418330683785,135.087529094797,118.664505107113,95.027004815404,75.0168936501051
ENSG00000107897,309.650941376176,253.451624518238,216.626838984793,192.148255973547,238.607412167143,269.89693440228,310.479805290828
ENSG00000230124,148.480971701486,172.954570476626,113.847329469413,109.357908510069,242.970255469861,152.789674539151,149.327147275807
ENSG00000110455,107.834249429461,49.4552326664736,53.8955257014147,59.7711440496287,47.0331684538618,87.4626274907,68.6389191526319
ENSG00000102977,174.747164273407,162.506773753029,181.682436703059,211.56306375168,285.749549503438,182.709227011301,169.443545675052
ENSG00000159640,21.5921958399181,28.263759999788,28.297674338718,34.4841739109341,23.3650774163108,22.1351442927759,23.7369846241505
ENSG00000130234,12.1465270052655,11.44175905841,14.4624354752531,13.2452154721218,12.4431823845607,13.0912979582532,11.8620324796225
ENSG00000167769,26.6689931491138,25.0514226668096,27.693892865372,28.2949520394218,28.4094701901576,30.0285331430397,23.160667005243
ENSG00000078124,108.697022167004,111.357904728305,93.5371077032426,83.1976610936837,103.6816601741,234.276346569138,267.105459388011
ENSG00000087085,34.7372965977047,62.2730181428489,54.7387987411064,68.6897609364225,68.9917521685233,42.7894535070402,41.6891298583779
ENSG00000100813,183.823404165385,136.626695670049,166.364400077494,153.719561118656,142.183705559979,187.360719234816,190.52319539309
ENSG00000213088,173.628715064951,114.921085825061,89.6636685702551,99.7154008604759,189.8148846378,96.2431938020835,96.0703917777587
ENSG00000144648,20.8268404358224,19.1121060717942,20.756134420772,20.2511751243693,20.9695737519256,20.083621456022,22.8105709148081
ENSG00000144476,51.8904184298433,33.325757450089,34.2582304370777,35.0578095125304,22.9266219955787,55.86320972719,61.0106866637267
ENSG00000129048,13.7760284154535,11.6145859033789,13.3514292602936,12.6436507720982,11.0086698654101,11.6312469070443,12.765045826836
ENSG00000131473,367.442537217026,278.780989970047,142.338403098408,141.496032239048,468.058345459782,396.349807051038,398.093467410212
ENSG00000153086,10.8840775012642,10.0131610802227,9.65076401083757,8.52366197981957,9.95953862100147,8.8306787808672,10.0043827194498
ENSG00000122729,73.5999017026494,64.0430505964273,64.0455057302351,59.6287476249172,68.5967671241396,75.0016408279766,79.5139922161825
ENSG00000100412,268.400300424787,278.109578714899,196.393387733213,165.938763850339,279.228385268164,293.237199315064,305.819975581078
ENSG00000102794,25.7361360308545,24.7538098258935,26.8465703901827,28.5484242224469,22.2232823648061,30.8257045328405,25.0238285873839
ENSG00000162390,32.4582980882249,29.8885931520474,36.4502459174193,39.3041419681527,30.3178715421098,51.7927558859541,46.6322602589948
ENSG00000172497,11.2423845993619,10.2868873559726,9.84056980377143,9.13527191969649,10.4863199681217,9.8717764150195,9.71102715160314
ENSG00000112304,448.134200430759,544.880170045167,212.891651250335,157.969711433672,497.070402623656,208.891057588654,212.814711752246
ENSG00000177465,57.490828820395,73.8725237864393,31.7557533538052,31.0060276739749,90.7113439685967,29.8139163788625,29.0622456693696
ENSG00000205669,12.3542993687939,16.2409960929471,12.4268308941293,12.4486049506079,16.1643953875813,11.521051277604,12.3574456771487
ENSG00000097021,147.515925381008,422.459680229819,219.145851026079,245.43964757563,714.009636219395,303.626913680619,304.957604592232
ENSG00000101473,71.7028571651083,84.6121598745202,86.319993446318,87.5019130438855,103.781303530473,79.7053295350537,76.5123599554628
ENSG00000123130,238.403435247165,142.375947008628,104.990606893495,98.4856378634156,194.093619504798,159.802954293568,164.034897213093
ENSG00000161533,76.5043443670516,68.8998879317132,41.1263871328884,42.1317214784766,62.5390312747793,52.349903523313,55.3237592087843
ENSG00000168306,85.4352897828574,37.4430868305566,26.6308160459622,31.1927612396638,35.629609963136,65.3956082155907,65.769609540457
ENSG00000087008,80.8225423175299,77.2221480337263,66.382300129151,79.1470122811713,90.355378646005,97.4102640676126,94.6217464141816
ENSG00000153093,15.4254526374186,14.1641454015729,14.9309489098263,15.4578149375554,15.6821250943823,15.2392408366532,15.9924801542967
ENSG00000143727,154.178271067548,172.62850265291,72.6768679375955,70.176863401089,184.283290719995,179.558331839626,177.23583537561
ENSG00000134575,272.229593750424,293.527565685081,177.871905212421,172.571732653813,267.025402600074,294.645853530268,295.824944378418
