gene,GSM7670133,GSM7670134,GSM7670135,GSM7670136,GSM7670137,GSM7670138,GSM7670139,GSM7670140,GSM7670141,GSM7670142,GSM7670143,GSM7670144
ENSG00000009694,0.0907,0.3486,0.0666,0.1145,0.0685,0.0876,0.1862,0.0538,0.0521,0.0836,0.1681,0.108
ENSG00000009724,0.1175,0.2187,0.0808,0.1085,0.1124,0.097,0.2406,0.132,0.0959,0.0974,0.169,0.0957
ENSG00000009765,0.0136,0.0279,0.0225,0.03,0.0277,0.0235,0.0487,0.0256,0.0198,0.0217,0.0455,0.0244
ENSG00000009780,0.28,0.3302,0.2545,0.3506,0.3573,0.3291,0.3263,0.2477,0.2735,0.2869,0.3095,0.3008
ENSG00000009790,11.2765,14.9542,6.0547,8.8717,8.9916,16.1878,19.0427,7.6338,6.4511,13.3368,13.9352,8.0754
ENSG00000009830,0.5097,0.2988,0.3935,0.5024,0.4494,0.4129,0.2502,0.4461,0.3868,0.4719,0.3295,0.5438
ENSG00000009844,2.4269,2.1169,3.1702,2.3925,2.4451,2.1713,2.0684,2.327,3.0077,2.3787,2.1927,2.2908
ENSG00000009950,0.0136,0.0232,0.0323,0.0226,0.0257,0.0133,0.0418,0.0289,0.0219,0.0175,0.0257,0.028
ENSG00000009954,8.3156,7.8568,9.2361,9.2461,8.6704,8.235,6.8488,9.1231,9.064,8.3292,8.827,9.2164
ENSG00000010017,3.8976,4.5961,3.5876,3.862,3.3435,3.2619,3.7468,3.113,3.5396,3.5577,4.844,3.3245
ENSG00000010030,0.2893,0.2011,0.7782,0.1929,0.1441,0.1238,0.146,0.4971,0.6502,0.226,0.1915,0.3297
ENSG00000010072,0.6476,0.6733,1.0054,0.7412,0.703,0.6466,0.5555,0.8988,0.9909,0.6947,0.6946,0.6987
ENSG00000010165,4.5826,3.8352,6.1254,3.7362,3.8598,3.9318,3.3846,5.3789,5.8161,4.1715,3.8688,4.1856
ENSG00000010219,0.5377,0.7049,0.9755,0.5781,0.5487,0.4944,0.7601,0.832,0.8625,0.5027,0.7403,0.5611
ENSG00000010244,15.4887,17.9856,15.2379,15.5334,15.237,14.0183,17.278,15.3527,16.2165,15.1095,16.0109,15.0095
ENSG00000010256,3.7143,2.4488,3.7029,2.9594,3.0409,3.2193,2.5777,3.2688,3.6924,3.5664,2.5567,3.4063
ENSG00000010270,0.6214,0.6644,0.8272,0.858,0.6797,0.6547,0.5863,0.5292,0.7218,0.6297,0.6819,0.6941
ENSG00000010278,0.0961,0.0563,0.0991,0.2431,0.3336,0.1297,0.0976,0.1603,0.1331,0.0978,0.1803,0.1836
ENSG00000010282,0.0005,0.0007,0.0015,0.0026,0.0005,0.0005,0.0007,0.0049,0.0004,0.0004,0.0006,0.0005
ENSG00000010292,4.9004,2.4382,3.121,7.671,7.5472,7.0344,2.7791,4.2065,3.7865,6.1149,4.0649,7.0481
ENSG00000010295,1.0316,1.0793,0.5853,0.986,0.9889,1.3995,1.4884,1.0081,0.6176,1.1354,0.9949,0.9372
ENSG00000010310,0.2358,0.3074,0.1786,0.1704,0.2362,0.2312,0.4429,0.4222,0.2081,0.2442,0.278,0.1833
ENSG00000010318,0.1546,0.17,0.1107,0.1961,0.2178,0.2202,0.1945,0.1663,0.1182,0.1941,0.1314,0.1557
ENSG00000010319,0.0005,0.0022,0.0015,0.0016,0.0015,0.0015,0.0007,0.0049,0.0004,0.0022,0.0028,0.0005
ENSG00000010322,5.0049,4.7584,4.2591,4.594,4.9538,4.874,5.0472,5.8788,4.1901,4.9416,4.299,5.179
ENSG00000010327,0.0032,0.0037,0.0036,0.0047,0.0015,0.0005,0.0048,0.0016,0.0004,0.0004,0.0095,0.0005
ENSG00000010361,0.1702,0.1047,0.0985,0.1789,0.1667,0.2158,0.1509,0.1792,0.1383,0.2054,0.1328,0.1605
ENSG00000010379,0.0014,0.0037,0.0036,0.0016,0.0036,0.0005,0.0062,0.0038,0.0004,0.0004,0.0028,0.0027
ENSG00000010404,2.3062,5.6398,2.1598,5.8616,5.2298,3.6365,5.879,2.6009,2.4118,2.5827,7.3357,4.5316
ENSG00000010438,0.0014,0.0007,0.0005,0.0026,0.0005,0.0024,0.0035,0.0005,0.0013,0.0013,0.005,0.0049
ENSG00000010539,0.8385,0.7952,0.9554,0.7798,0.7066,0.7794,0.7677,0.9457,1.0108,0.8624,0.7149,0.7064
ENSG00000010610,10.0614,10.0797,14.0191,8.1483,7.5439,8.9563,9.801,13.3931,14.8512,10.026,8.8359,8.7968
ENSG00000010626,0.0614,0.0769,0.0508,0.0584,0.0557,0.0775,0.1313,0.0807,0.0585,0.0663,0.0657,0.0509
ENSG00000010671,0.0005,0.0007,0.0005,0.0005,0.0127,0.0015,0.0048,0.0005,0.0013,0.0013,0.0006,0.0038
ENSG00000010704,0.0222,0.0187,0.0109,0.0259,0.0221,0.0234,0.0275,0.0252,0.0123,0.0176,0.0155,0.0129
ENSG00000010803,0.6273,0.8475,0.9327,0.8213,0.63,0.6601,0.6235,0.948,0.9039,0.6055,0.7588,0.7874
ENSG00000010810,27.4451,28.7941,36.1774,20.4719,21.9577,22.1566,25.3643,35.8984,36.9088,24.1995,25.9383,21.7748
ENSG00000010818,9.3698,14.4976,10.5394,8.8185,8.2528,8.5913,12.0666,12.8423,10.2478,9.0343,12.693,8.9123
ENSG00000010932,0.0005,0.0007,0.0005,0.0037,0.0015,0.0005,0.0021,0.0027,0.0004,0.0004,0.0017,0.0005
ENSG00000011007,4.0751,4.5401,5.1566,3.6735,3.3892,3.1714,3.6351,4.6226,5.2367,3.5912,4.0229,3.8063
ENSG00000011009,3.4127,3.2736,4.0819,2.9364,2.8952,2.9569,3.1867,3.6687,4.0974,3.2125,3.0659,3.5753
ENSG00000011021,0.6391,0.8936,0.6071,0.5228,0.5877,0.6439,0.7884,0.7062,0.607,0.5646,0.7846,0.51
ENSG00000011028,0.9289,0.3897,0.3207,0.8202,0.6615,0.5662,0.3647,0.3765,0.3422,0.8904,0.7778,0.7852
ENSG00000011052,2.5444,1.8482,5.0382,1.0631,1.2258,2.1713,1.094,2.9236,3.8823,2.0215,1.525,2.1327
ENSG00000011114,0.6287,0.3427,0.3345,0.3344,0.2666,0.215,0.442,0.3865,0.3031,0.1746,0.5862,0.4923
ENSG00000011132,1.5944,1.8169,1.7701,1.7835,1.6537,1.3403,1.4803,1.7741,1.8838,1.5641,1.923,2.1366
