gene,GSM5470489,GSM5470490,GSM5470491,GSM5470492,GSM5470493,GSM5470494
ENSG00000104722,0.8153,14.9238,0.253,1.014,1.5879,0.7335
ENSG00000104723,0.4094,2.1806,0.4051,0.4745,0.3019,0.3011
ENSG00000104728,10.0972,3.8557,7.6649,17.2207,12.4703,14.8496
ENSG00000104731,2.816,1.8882,3.4449,3.2688,2.1948,1.8671
ENSG00000104738,1.671,2.1723,1.8203,1.0609,1.1755,0.7592
ENSG00000104755,0.0004,0.0025,0.0008,0.0007,0.0001,0.0002
ENSG00000104756,1.8206,1.95,1.8559,4.3939,3.0648,2.0086
ENSG00000104760,0.1842,0.1125,0.0349,0.0391,0.0079,0.0196
ENSG00000104763,7.8547,6.6714,6.9191,7.4928,7.3036,10.7147
ENSG00000104765,7.9144,4.9916,5.0428,5.3133,8.3521,16.9854
ENSG00000104774,1.4896,1.0326,2.0025,1.0728,1.6374,1.326
ENSG00000104783,0.027,0.0709,0.0234,0.0536,0.0237,0.0507
ENSG00000104804,0.0012,0.0225,0.0021,0.0181,0.0063,0.0224
ENSG00000104805,1.5439,1.6508,1.7307,2.3218,1.9824,4.9638
ENSG00000104808,0.0431,0.0378,0.0316,0.0819,0.0661,0.062
ENSG00000104812,0.5719,0.5491,0.7458,1.0785,0.5749,1.0478
ENSG00000104814,0.3891,0.3885,0.4782,0.3637,0.3731,0.427
ENSG00000104818,0.0842,0.0436,0.0806,0.0254,0.0212,0.016
ENSG00000104823,0.5174,0.4292,0.4959,0.454,1.4362,1.1654
ENSG00000104824,4.2365,2.0292,3.6037,3.296,4.014,4.9506
ENSG00000104825,0.7407,0.5229,0.6671,0.772,1.0079,1.1717
ENSG00000104826,0.0069,0.0072,0.0103,0.0155,0.01,0.0005
ENSG00000104827,0.0004,0.0004,0.0021,0.0034,0.0004,0.0002
ENSG00000104833,37.1907,6.3627,42.5498,16.6719,14.1112,34.3116
ENSG00000104835,0.2419,0.1395,0.2338,0.0948,0.1851,0.146
ENSG00000104848,1.4796,1.1348,1.3231,1.9146,1.2741,1.6499
ENSG00000104852,23.0961,8.1266,20.9948,16.8152,19.274,26.3155
ENSG00000104853,2.2338,2.056,2.8828,2.0154,4.7892,3.6073
ENSG00000104856,0.0931,0.1542,0.098,0.1088,0.0901,0.2813
