gene,GSM5470483,GSM5470484,GSM5470485,GSM5470486,GSM5470487,GSM5470488,GSM5903107,GSM5903108,GSM5903109,GSM5903110,GSM5903111,GSM5903112,GSM5903113,GSM5903114
ENSG00000120210,0.3479,0.6936,0.5309,1.1295,0.5958,0.4764,0.315,0.4644,0.3753,0.377,0.5525,0.5088,0.6318,0.5325
ENSG00000120211,0.0411,0.0421,0.0631,0.0794,0.0434,0.0591,0.0343,0.0252,0.0305,0.0348,0.0803,0.0409,0.0404,0.0287
ENSG00000120215,0.2521,0.3935,0.5029,0.6943,0.2766,0.4628,0.1707,0.3603,0.2884,0.221,0.4568,0.4059,0.4838,0.5638
ENSG00000120217,0.1134,0.0503,0.1591,0.1904,0.1239,0.0763,0.179,0.1745,0.0996,0.0388,0.0907,0.1079,0.0501,0.1291
ENSG00000120235,0.0044,0.0458,0.0016,0.0048,0.0009,0.0086,0.0004,0.016,0.0111,0.007,0.0181,0.0004,0.0038,0.0287
ENSG00000120242,0.0003,0.0026,0.0005,0.001,0.0003,0.0005,0.0004,0.0003,0.0017,0.0003,0.0004,0.0004,0.0003,0.0004
ENSG00000120251,5.9662,32.5949,13.1848,3.4716,22.4983,21.5079,5.56,17.2917,33.0618,14.435,14.8892,11.0354,11.5491,14.9935
ENSG00000120253,1.5472,1.6026,1.6387,1.7879,1.6207,1.6787,1.1692,1.6508,0.852,2.1086,2.082,1.6895,1.3307,2.7418
ENSG00000120254,0.8593,0.3858,1.164,0.7777,0.7174,0.5262,0.6347,0.97,0.4174,0.5927,0.5355,0.805,0.2672,0.5726
ENSG00000120256,2.2836,2.0302,7.086,2.0253,2.3022,5.2872,1.2972,2.2932,2.1314,2.459,2.5748,1.4054,1.9253,2.0827
ENSG00000120262,5.0333,0.83,0.4268,0.8915,2.3008,0.4446,1.1055,0.4181,1.0832,0.3336,0.3295,1.0382,0.9837,0.3914
ENSG00000120265,5.1958,4.1023,3.2616,2.6451,4.1319,3.6285,3.1576,3.4391,2.9365,6.2715,7.4237,2.3338,4.7161,3.6876
ENSG00000120278,2.3968,1.0489,3.1958,7.5026,1.9809,3.4911,3.6844,2.0626,1.2888,1.9344,2.3861,2.2004,1.4432,3.076
ENSG00000120279,0.1443,0.0833,0.7484,3.4995,0.1658,0.8328,1.4202,0.0727,0.1671,0.1228,0.1868,0.1884,0.2713,0.0964
ENSG00000120280,0.4754,0.2634,0.6243,0.4767,0.428,0.3098,0.5031,0.8124,0.269,0.3874,0.3018,0.3584,0.3723,0.2869
ENSG00000120306,9.4104,1.4338,5.3601,3.8584,2.6803,3.1173,7.7682,1.2666,3.3907,2.047,1.4676,1.8309,2.8765,0.732
ENSG00000120314,1.581,2.0118,2.2916,1.9319,1.5488,1.7929,1.3172,1.6868,1.5048,1.9611,1.8555,2.1864,2.133,2.8074
ENSG00000120318,0.093,0.1085,0.1038,1.9754,0.0596,0.0905,0.8174,0.183,0.1445,0.1328,0.0559,0.2745,0.131,0.0668
ENSG00000120322,0.0087,0.0065,0.0102,0.0396,0.0138,0.032,0.0165,0.003,0.024,0.0145,0.0036,0.0275,0.0152,0.0079
ENSG00000120324,0.3671,0.3999,0.5606,0.1146,0.4568,0.6659,0.3217,0.6027,0.428,0.4457,0.5988,0.3457,0.3152,0.3348
ENSG00000120327,0.7676,1.1519,1.2571,0.5642,0.9155,1.4277,0.8038,0.8115,1.1078,0.8089,0.6944,0.6168,0.688,0.6651
ENSG00000120328,0.2598,0.2163,0.2615,0.0507,0.2323,0.3889,0.1454,0.1782,0.214,0.0973,0.1898,0.1309,0.1953,0.1217
ENSG00000120329,0.0044,0.0168,0.0099,0.001,0.0172,0.0005,0.0004,0.0101,0.0117,0.0129,0.0004,0.0362,0.0031,0.0409
ENSG00000120332,0.0102,0.0183,0.0005,0.0411,0.0103,0.0005,0.0103,0.0082,0.0044,0.0003,0.0004,0.0097,0.0142,0.0028
ENSG00000120333,1.7915,0.9873,1.3967,1.5245,1.2911,1.5014,2.2853,1.1768,1.1568,2.0614,2.1435,1.3192,1.6576,1.0029
