gene,GSM2677508,GSM2677509,GSM2677510,GSM2677511,GSM2677512,GSM2677513,GSM2677514,GSM2677515,GSM2677516,GSM2677517
ENSG00000113161,1.7703,1.4781,1.1007,2.2498,1.9227,3.2969,2.2116,1.3436,1.8329,2.0578
ENSG00000113163,2.898,3.0707,2.8369,2.9154,3.0157,3.542,2.9636,2.7424,2.391,2.7882
ENSG00000113194,2.1215,1.8554,2.9724,1.7985,1.9566,1.6263,1.9875,1.5327,1.6984,1.718
ENSG00000113196,0.0087,0.006,0.0065,0.0067,0.0029,0.0009,0.0051,0.0171,0.0047,0.0034
ENSG00000113205,0.1029,0.0542,0.2132,0.1714,0.0899,0.0743,0.099,0.1432,0.1117,0.1494
ENSG00000113209,0.3392,0.2368,0.7637,0.4247,0.3424,0.175,0.4178,0.3366,0.3437,0.4883
ENSG00000113211,0.1075,0.105,0.2995,0.2401,0.1418,0.0949,0.1951,0.1828,0.2244,0.1278
ENSG00000113212,0.2138,0.1523,0.7633,0.5902,0.1853,0.1231,0.3683,0.3194,0.3305,0.2007
ENSG00000113231,2.7515,2.9432,6.1734,2.6509,1.7059,1.7932,1.6749,1.0777,1.6918,3.4147
ENSG00000113240,1.5687,1.7264,1.7074,1.6668,1.4069,1.7199,1.6808,1.6665,1.4243,1.208
ENSG00000113248,0.1718,0.3428,0.4498,0.4727,0.2358,0.3065,0.4424,0.4102,0.7445,0.3992
ENSG00000113249,0.029,0.0256,0.052,0.0448,0.0394,0.0284,0.0253,0.0159,0.022,0.0245
ENSG00000113262,0.4772,0.5872,0.1329,0.1581,0.2439,0.435,0.1594,0.2281,0.2514,0.2108
ENSG00000113263,0.2381,0.4063,0.2064,0.1641,0.2241,0.3089,0.1359,0.2786,0.2244,0.1321
ENSG00000113269,5.9616,8.0016,5.3016,6.998,8.9421,10.0251,7.5196,9.8002,7.5336,7.2682
ENSG00000113272,0.4277,0.4668,0.4267,0.3794,0.4143,0.4705,0.3307,0.4572,0.2854,0.3297
ENSG00000113273,0.4386,0.6696,0.968,0.8932,0.6342,0.7632,0.814,0.748,0.789,0.5753
ENSG00000113282,1.8138,1.857,2.6197,2.0175,2.0268,1.6325,2.081,1.8301,1.6583,1.8038
ENSG00000113296,3.1719,0.9966,1.7442,1.4679,1.1345,1.313,2.0322,1.2079,1.6412,1.9111
ENSG00000113300,1.5705,1.5279,1.5774,1.295,1.6038,1.6357,1.6285,1.4929,1.3849,1.4694
ENSG00000113302,0.019,0.0375,0.0118,0.0076,0.013,0.0279,0.0169,0.0095,0.0142,0.0094
ENSG00000113303,0.014,0.0279,0.0169,0.0186,0.0336,0.0406,0.0106,0.0224,0.0149,0.0092
ENSG00000113312,2.5602,2.4082,1.9195,1.7226,2.1721,2.4721,2.1641,2.4529,2.1795,2.1552
ENSG00000113318,0.7689,1.0692,0.6629,0.6924,0.5817,0.9439,0.8681,0.9894,0.7892,0.8397
ENSG00000113319,1.4707,1.5612,0.8749,1.901,1.2626,2.302,2.2147,3.9164,2.9289,3.3099
ENSG00000113327,3.5308,2.124,1.0697,3.5406,3.0063,1.7722,1.8866,1.2372,1.1811,5.1045
